Geography,Geographic Area Name,Total,T_ Male,T_ Female,T_ African American,T_ American Indian/Alaska Native,T_ Asian,T_ Hawaiian/ Pacific Islander,T_ Two or more races,T_ Other race,T_ Hispanic or Latino,T_ White,BP_Total,BP_ Male,BP_ Female,BP_ African American%,BP_ Asian%,BP_ Two or more races%,BP_ Hispanic or Latino%,BP_ White%,T_Households,Households<$10k,Households>$200k,Median income,Mean income,BP_ Total%,state,county
0500000US38051,"McIntosh County, North Dakota",2414,1219,1195,16,10,18,0,38,81,57,2248,329,152,177,0.0,27.8,28.9,52.6,12.0,1193,4.9,5.6,64375,78683,13.6,38,051
0500000US38053,"McKenzie County, North Dakota",13865,7557,6308,301,1482,78,0,727,199,1486,10453,1856,1055,801,22.9,0.0,35.9,47.2,7.9,5350,5.0,13.3,83813,119287,13.4,38,053
0500000US38055,"McLean County, North Dakota",9642,5003,4639,38,624,83,32,273,93,261,8457,661,307,354,13.2,1.2,13.6,13.4,6.3,4176,3.7,4.8,80556,93556,6.9,38,055
0500000US38057,"Mercer County, North Dakota",8169,4158,4011,20,247,62,0,170,141,219,7434,785,283,502,0.0,0.0,0.6,3.2,8.2,3536,4.1,7.2,82155,94760,9.6,38,057
0500000US38059,"Morton County, North Dakota",32538,16574,15964,420,1048,132,62,1187,831,1398,28621,2647,1122,1525,5.0,99.2,30.4,24.5,6.9,13177,2.0,6.6,79555,104894,8.1,38,059
0500000US38061,"Mountrail County, North Dakota",9546,5029,4517,179,2926,69,12,432,254,877,5421,1182,599,583,12.3,0.0,5.6,9.7,6.8,3539,5.3,9.6,81886,103354,12.4,38,061
0500000US38063,"Nelson County, North Dakota",2913,1476,1437,0,0,44,0,130,37,117,2667,316,140,176,0,0.0,12.3,22.2,10.5,1297,5.4,4.8,62219,80905,10.8,38,063
0500000US38065,"Oliver County, North Dakota",1831,972,859,0,8,6,7,128,0,61,1682,211,112,99,0,0.0,43.0,0.0,9.3,698,3.6,6.2,69722,93800,11.5,38,065
0500000US38067,"Pembina County, North Dakota",6629,3473,3156,56,97,32,15,390,14,244,5950,609,333,276,7.1,0.0,25.6,36.1,8.3,2961,3.7,6.0,64243,87245,9.2,38,067
0500000US38069,"Pierce County, North Dakota",3829,1878,1951,0,56,63,0,62,20,45,3618,429,167,262,0,0.0,0.0,40.0,10.3,1689,6.7,2.4,59583,79592,11.2,38,069
